Source,Target
Beate Heister & Karl Albrecht Jr.,Germany
Oliver Samwer,Germany
Marc Samwer,Germany
Alexander Samwer,Germany
Klaus-Peter Schulenberg,Germany
Christian Bertermann,Germany
Aloys Wobben,Germany
Philip Niarchos,Greece
Vicky Safra,Greece
Aristotelis Mistakidis,Greece
Vardis Vardinoyannis & family,Greece
Stephen Lansdown,Guernsey
Cho Tak Wong,Hong Kong
Wu Jianshu,Hong Kong
Li Ping,Hong Kong
Robin Zeng,Hong Kong
Huang Yi,Hong Kong
Pansy Ho,Hong Kong
Lawrence Ho,Hong Kong
Angela Leong,Hong Kong
Lui Che Woo & family,Hong Kong
Li Jianquan & family,Hong Kong
Henry Cheng,Hong Kong
Li Ka-shing,Hong Kong
Martin Lau,Hong Kong
Huang Zhengcong,Hong Kong
Allan Wong,Hong Kong
Wu Kaiting,Hong Kong
Yeung Kin-man,Hong Kong
Ronald McAulay,Hong Kong
Tang Yiu,Hong Kong
Chu Lam Yiu,Hong Kong
Lee Man Tat,Hong Kong
Wong Man Li,Hong Kong
Michael Kadoorie,Hong Kong
Cheng Antares,Hong Kong
Roy Chi Ping Chung,Hong Kong
Xu Hang,Hong Kong
Lv Jianming,Hong Kong
Daniel Chiu,Hong Kong
Patrick Lee,Hong Kong
Ye Chenghai & family,Hong Kong
Ruan Xueping,Hong Kong
Ruan Liping,Hong Kong
Zhuo Jun,Hong Kong
Chan Tan Ching-fen,Hong Kong
Vivien Chen,Hong Kong
Francis Choi,Hong Kong
Fong Yun Wah,Hong Kong
Huang Shih Tsai,Hong Kong
Hui Wing Mau,Hong Kong
Geoffrey Kwok,Hong Kong
Adam Kwok,Hong Kong
Jonathan Kwok,Hong Kong
Thomas Kwok,Hong Kong
Christopher Kwok,Hong Kong
Edward Kwok,Hong Kong
Raymond Kwok,Hong Kong
Kwong Siu-hing,Hong Kong
Joseph Lau,Hong Kong
